,ZIPCODE,AREA,avdens,counts,maxcounts
0,11436,22699295.4594,1088.33446719,12.1613044712,995.0
1,11213,29631004.4379,3827.34302243,42.9198495124,1169.0
2,11212,41972104.0714,1217.58742179,8.45085468019,569.0
3,11225,23698630.1249,4718.68889074,52.3319517477,1753.0
4,11218,36868798.9898,8111.20052548,103.702124463,4618.0
5,11226,39408598.279,4355.87081375,34.0210095544,3429.0
6,11219,42002738.4672,8219.98403864,79.9964076015,3675.0
7,11210,47887022.9922,7110.77244539,61.0774712298,2643.0
8,11230,49926703.3933,13994.8086185,180.885340722,8395.0
9,11204,43555184.6133,9208.40802807,80.5063896551,4255.0
10,10471,89651407.0583,973.91867536,31.0049886961,2542.0
11,10470,21543461.5814,456.6214312,8.30766659963,166.0
12,10466,55262490.6125,458.919293352,5.41661893099,751.0
13,10467,69336166.3726,4001.27257088,57.5543294646,2642.0
14,10463,36703381.5082,1532.30485488,28.8453272639,1273.0
15,10475,38633296.9345,456.6214312,14.0763308875,335.0
16,10464,76257484.8998,456.6214312,1.9208826347,185.0
17,10469,68040887.0684,2048.5776157,28.5628428181,2033.0
18,10468,34447604.6722,2817.96836231,40.8934706777,1979.0
19,10463,3119701.91322,1223.74024835,4.98024362657,15.0
20,10458,35968812.9034,2842.11075319,25.9271457133,1235.0
21,10034,24503892.122,891.645075601,9.76807849965,302.0
22,10033,16156054.1719,1653.33710222,28.7622111798,516.0
23,10462,53022513.7765,5467.64257426,45.729443167,2512.0
24,10040,16340742.7952,1020.9349856,30.5844832982,191.0
25,10453,25748509.2717,1530.11318969,8.69394903112,514.0
26,10465,108423743.438,457.206402858,18.0786377346,625.0
27,10464,4512530.57659,456.6214312,13.0,13.0
28,10464,11587953.8267,456.6214312,13.0,13.0
29,10461,62824057.5745,1740.56289128,42.0142383445,861.0
30,10457,37640607.3793,1630.98297978,6.28938548812,693.0
31,10460,35155666.646,1998.06165635,5.66884694465,1362.0
32,10032,23159566.0923,1619.86517263,28.5742569425,688.0
33,10452,27550385.8533,2335.58260349,14.0957156783,558.0
34,10456,29933452.4363,1557.78890248,2.96130287219,525.0
35,10472,30963245.1883,3802.7211566,73.2435762771,2416.0
36,10031,16902152.3659,2897.49803708,58.3473679517,830.0
37,10039,8419027.88461,3011.9198887,13.647878445,469.0
38,10459,22551940.5372,654.613328541,10.1505873676,265.0
39,10451,28944106.5169,1783.43389143,22.2676973002,615.0
40,10473,59522354.5403,967.149528715,5.20901575862,2450.0
41,10030,7757661.45493,4830.97363085,21.4739986908,1072.0
42,10027,24695278.5043,5895.08750933,47.165619609,2477.0
43,10474,40614090.1902,456.6214312,0.0,0.0
44,10455,19846918.8415,737.308534921,9.59665635207,259.0
45,10037,7188980.95343,3908.77469052,87.7158924638,529.0
46,10024,22877335.4639,2251.70983285,51.5215305963,1375.0
47,10454,31063613.3253,630.760599465,1.9271500998,30.0
48,10026,11092681.4885,5688.36018996,38.5029420102,1722.0
49,10035,15445657.3341,1887.52838663,23.8086067357,249.0
50,10048,972788.423974,1894.32123956,143.231219941,303.0
51,10025,19631043.8225,3686.56745992,99.5207044432,1933.0
52,11357,77359110.6091,456.6214312,47.5607887915,743.0
53,10029,22963435.677,6931.75154598,37.2714742576,1154.0
54,00083,38300990.3999,3332.25655208,0.037010557205,1709.0
55,11356,43321159.272,456.6214312,47.0883425515,494.0
56,11359,6567982.08534,456.6214312,0.0,0.0
57,11360,38834824.1713,456.6214312,4.87965809454,155.0
58,11105,48795608.0799,4384.92863475,57.5193661106,2612.0
59,10128,11011681.5568,12314.6687213,76.4515737542,1122.0
60,10023,15212712.6782,2212.71045655,61.9560375652,1286.0
61,11363,24242790.0235,456.6214312,51.8878713445,724.0
62,10028,9842046.4797,6740.5277526,34.9165807505,1356.0
63,11354,61985147.4508,2403.06760653,49.0714728034,1509.0
64,11102,19116258.4369,10294.6187496,121.134829914,2284.0
65,11370,23600231.488,7324.00399141,376.925617276,4996.0
66,10021,10495133.4085,4039.57164874,63.2771481397,818.0
67,11358,54622541.0857,1110.83557692,39.9329932764,1444.0
68,11362,54680551.2194,456.6214312,37.5463970628,267.0
69,10044,6296113.26884,3290.52315334,333.809516398,1953.0
70,11369,30060493.2464,3747.40956503,94.9983915424,3156.0
71,11103,20222394.6255,14479.0569332,127.803120126,4222.0
72,11106,23866112.7255,8357.05989435,99.728820571,1901.0
73,11368,72489663.2845,3868.68810977,36.0161969445,4223.0
74,11377,71832387.4945,7239.83529665,129.222651763,8544.0
75,11355,49383079.0839,9768.23608034,120.521233458,4143.0
76,11101,78962088.7418,2455.38313714,32.3631056382,1642.0
77,11364,84259665.053,466.622096485,68.2461669982,2579.0
78,10018,10705796.4792,3597.68542839,70.9112727218,700.0
79,10020,697297.0224,4241.65791849,0.0538227847107,158.0
80,11005,9075527.40375,456.6214312,121.14731977,1115.0
81,10017,9794383.23999,5007.00984942,86.7154319936,921.0
82,10001,17794940.7727,3678.19768423,104.629050526,1099.0
83,10011,18118416.8463,3650.93433685,59.2964698647,2038.0
84,10016,15042403.0378,5621.15685879,86.8353866897,1424.0
85,11104,12084432.1161,7483.83250017,105.407091705,2643.0
86,11109,581237.150593,590.449931255,36.9949143299,37.0
87,10010,9768395.56995,5590.96909902,99.6022526509,1929.0
88,11367,72810151.5885,2712.32674055,80.1504968184,4084.0
89,10014,14151052.0304,2849.73140485,46.8297011745,1196.0
90,10003,15538376.2697,6704.22706906,48.2949858553,2553.0
91,11222,42825293.2367,876.60358452,19.6563404947,397.0
92,10002,26280128.5439,2295.11315178,31.5063336149,1996.0
93,11378,66260538.7434,1103.39334124,12.5660780282,1652.0
94,10009,15903519.3012,4742.47141326,132.012746469,1813.0
95,10012,9193738.99955,3822.70614709,34.1360403802,984.0
96,10013,15580578.8336,1594.05596212,29.5473032088,804.0
97,10007,5327870.97676,1867.88803957,47.7168909748,1015.0
98,11237,27425868.1713,2321.17881723,24.8649356758,498.0
99,11385,124786310.908,2103.31488806,29.3603141544,2553.0
100,10038,7022760.64303,2505.13841895,102.178329608,2461.0
101,11206,40700720.9727,826.247456539,8.11810065189,292.0
102,10006,1716640.92012,1927.49702281,145.786957544,2029.0
103,11412,45842752.2261,458.582426794,8.88812966004,323.0
104,10005,2082901.14074,3689.71013753,336.995449566,1643.0
105,11251,10245952.2542,743.135578295,0.142292820532,20.0
106,10004,4002521.09703,1862.848798,27.3637207911,1732.0
107,11411,35889597.3834,456.6214312,3.43606163131,90.0
108,11201,41094886.7657,3140.93425509,38.4953356669,1778.0
109,10004,1202707.70745,456.6214312,0.0,0.0
110,11205,23270147.9498,1753.74692374,24.3179392025,527.0
111,11208,79303684.264,784.28388358,8.4460101124,363.0
112,11207,73966260.5411,805.777223283,8.50644841637,1276.0
113,10004,7679615.51101,456.6214312,0.0,0.0
114,10004,670708.019997,456.6214312,0.0,0.0
115,11413,86208498.5891,456.6214312,17.2893604077,748.0
116,11217,21648157.796,5355.17726067,54.766820195,1769.0
117,11238,29429423.4615,3773.25886299,24.9418446665,1065.0
118,11231,39379691.7941,1134.4872045,22.6828785936,511.0
119,11422,60120657.2055,456.6214312,46.3338796031,343.0
120,11420,61879568.3728,1847.10101407,61.1421045915,1592.0
121,11417,31099087.1079,2632.65013384,43.3073002351,2892.0
122,11215,61922821.7462,2480.88410707,21.5134825491,1267.0
123,11231,701979.385312,456.6214312,35.0,35.0
124,11232,55879065.1503,2711.75563309,27.7722992715,2264.0
125,11430,199913664.289,459.152664233,0.613993336386,208.0
126,11203,60644835.4562,1830.77692394,9.56899855726,553.0
127,11239,41794660.7672,456.6214312,14.6586923175,112.0
128,11236,96373991.6201,858.620411049,12.5615736037,1211.0
129,11220,47453785.7906,15385.2282586,171.451513292,8855.0
130,10301,105182712.65,456.6214312,115.101253593,2552.0
